stableId,id,sourceType,questionScope,sectionIds,entryId,level,displayLevel,prompt,correctAnswer,distractorB,distractorBFeedback,distractorC,distractorCFeedback,distractorD,distractorDFeedback,visibleCorrectExplanation,visibleConnection,visibleTakeaway,qualityProfile,sourceUrl
L300_introductory-questions__236,question.introductory-questions.300.008,section.guideQuestions,Section Journey,introductory-questions,,3,300,Which idea gives the clearest comparison to False endings and near-endings?,Detours,Point of no return,That answer changes the point: Detours.,Waiting and anticipation,That answer changes the point: Detours.,Ordinary life as journey,That answer changes the point: Detours.,Correct: Detours.,"The question starts from a concrete detail in False endings and near-endings: Beta products may look finished but are still drafts. It is really asking which answer handles a similar pressure. Detours is the best connection because it interrupts the direct route and tests whether the destination still matters after the path has changed. Both ideas ask alpacas to notice that Near-completion is psychologically loud. It can comfort people, trick them, or make the final stretch feel strangely longer.",,,WSC_2026_updated_level_100_200_300_questions.csv
L300_introductory-questions__237,question.introductory-questions.300.009,section.guideQuestions,Section Journey,introductory-questions,,3,300,Which idea turns the same pressure behind Point of no return into a different form?,Waiting and anticipation,Ordinary life as journey,That answer changes the point: Waiting and anticipation.,Destination vs journey,That answer changes the point: Waiting and anticipation.,What counts as an ending,That answer changes the point: Waiting and anticipation.,Correct: Waiting and anticipation.,"The question starts from a concrete detail in Point of no return: Used in travel, stories, aviation, war, ethics, climate, and medicine. It is really asking which answer handles a similar pressure. Waiting and anticipation is the best connection because it gives the future emotional weight before it arrives; the wait starts changing behavior before the destination exists. Both ideas ask alpacas to notice that Thresholds matter because people rarely recognize them with perfect timing. The judgment often comes after reversibility has already disappeared.",,,WSC_2026_updated_level_100_200_300_questions.csv
L300_introductory-questions__238,question.introductory-questions.300.010,section.guideQuestions,Section Journey,introductory-questions,,3,300,Which idea gives the clearest comparison for Ordinary life as journey?,Destination vs journey,What counts as an ending,That answer changes the point: Destination vs journey.,False endings and near-endings,That answer changes the point: Destination vs journey.,Detours,That answer changes the point: Destination vs journey.,Correct: Destination vs journey.,"The question starts from a concrete detail in Ordinary life as journey: Life journeys are often nonlinear. It is really asking which answer handles a similar pressure. Destination vs journey is the best connection because it turns arrival into a contested reward: institutions can recognize the endpoint even when the route did more of the real changing. Both ideas ask alpacas to notice that Journey language helps people explain growth, but it can also hide the fact that life rarely offers a single finish line.",,,WSC_2026_updated_level_100_200_300_questions.csv
L300_introductory-questions__239,question.introductory-questions.300.011,section.guideQuestions,Section Journey,introductory-questions,,3,300,Which idea carries the same logic as What counts as an ending?,Point of no return,Waiting and anticipation,That answer changes the point: Point of no return.,Ordinary life as journey,That answer changes the point: Point of no return.,Destination vs journey,That answer changes the point: Point of no return.,Correct: Point of no return.,"The question starts from a concrete detail in What counts as an ending: A story ending is not the same as a historical ending. It is really asking which answer handles a similar pressure. Point of no return is the best connection because it turns a threshold into a moral pressure point: after crossing it, choices are judged by cost, timing, and lost reversibility. Both ideas ask alpacas to notice that Endings are often declared by systems before people feel them, or felt by people before systems admit them.",,,WSC_2026_updated_level_100_200_300_questions.csv
L300_introductory-questions_1_316,question.introductory-questions.300.001,section.guideQuestions,Section Journey,introductory-questions,,3,300,"Why does the introduction mention products, projects, and everyday life?",To show that progress questions reach beyond physical travel,To prove that business questions are more important than art,That answer changes the point: To show that progress questions reach beyond physical travel.,To make the big question only about productivity and planning,That answer changes the point: To show that progress questions reach beyond physical travel.,To avoid the harder questions about endings and meaning,That answer changes the point: To show that progress questions reach beyond physical travel.,Correct: To show that progress questions reach beyond physical travel.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_introductory-questions_2_317,question.introductory-questions.300.002,section.guideQuestions,Section Journey,introductory-questions,,3,300,Why does “My Way” fit the idea of a point of no return?,The speaker reviews choices that cannot simply be replayed,The song says every ending can be easily reversed,That answer changes the point: The speaker reviews choices that cannot simply be replayed.,The speaker avoids responsibility for the route taken,That answer changes the point: The speaker reviews choices that cannot simply be replayed.,The song treats the future as completely open,That answer changes the point: The speaker reviews choices that cannot simply be replayed.,Correct: The speaker reviews choices that cannot simply be replayed.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_introductory-questions_3_318,question.introductory-questions.300.003,section.guideQuestions,Section Journey,introductory-questions,,3,300,Why can repeated endings affect an audience?,They reset expectations of closure several times,They make every story easier to understand,That answer changes the point: They reset expectations of closure several times.,They prove the final scene has no importance,That answer changes the point: They reset expectations of closure several times.,They remove the emotional weight of farewell,That answer changes the point: They reset expectations of closure several times.,Correct: They reset expectations of closure several times.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_introductory-questions_4_319,question.introductory-questions.300.004,section.guideQuestions,Section Journey,introductory-questions,,3,300,Why does Simba fit the idea of liminality?,He is between childhood and expected responsibility,He has already completed every adult duty,That answer changes the point: He is between childhood and expected responsibility.,He has no connection to growth or change,That answer changes the point: He is between childhood and expected responsibility.,He rejects the idea of becoming older,That answer changes the point: He is between childhood and expected responsibility.,Correct: He is between childhood and expected responsibility.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_introductory-questions_5_320,question.introductory-questions.300.005,section.guideQuestions,Section Journey,introductory-questions,,3,300,Why do exciting technologies sometimes fail to arrive?,"Safety, cost, usefulness, timing, or demand can block them",People always reject new inventions for no reason,"That answer changes the point: Safety, cost, usefulness, timing, or demand can block them.",Science stops working after the prototype stage,"That answer changes the point: Safety, cost, usefulness, timing, or demand can block them.",The most exciting idea is always the most practical,"That answer changes the point: Safety, cost, usefulness, timing, or demand can block them.","Correct: Safety, cost, usefulness, timing, or demand can block them.",,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_introductory-questions_6_321,question.introductory-questions.300.006,section.guideQuestions,Section Journey,introductory-questions,,3,300,Why can modern technology make finishing harder?,It can create distractions and endless alternative options,It always removes the need for self-control,That answer changes the point: It can create distractions and endless alternative options.,It makes every long project simpler to complete,That answer changes the point: It can create distractions and endless alternative options.,It prevents people from tracking progress,That answer changes the point: It can create distractions and endless alternative options.,Correct: It can create distractions and endless alternative options.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_progress-not-regress_1_103,question.progress-not-regress.100.001,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.001,1,100,What problem did early progress indicators help computer users solve?,They showed that a process was still active,They made slow programs work without delay,That answer changes the point: They showed that a process was still active.,They prevented computers from ever freezing,That answer changes the point: They showed that a process was still active.,They replaced the need for saving files,That answer changes the point: They showed that a process was still active.,They showed that a process was still active.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_progress-not-regress_2_091,question.progress-not-regress.100.002,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.002,1,100,What is a percent-done progress indicator designed to show?,How much of a process appears complete,That a page has no structure yet,That answer changes the point: How much of a process appears complete.,A decorative logo before an app opens,That answer changes the point: How much of a process appears complete.,A command line with only error messages,That answer changes the point: How much of a process appears complete.,How much of a process appears complete.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_progress-not-regress_3_011,question.progress-not-regress.100.003,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.003,1,100,What is a placebo button?,A control that feels active but may not change the system,A button that always speeds up a machine,That answer changes the point: A control that feels active but may not change the system.,A broken control that no one is meant to press,That answer changes the point: A control that feels active but may not change the system.,A safety switch used only in emergencies,That answer changes the point: A control that feels active but may not change the system.,A control that feels active but may not change the system.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_progress-not-regress_4_099,question.progress-not-regress.100.004,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.004,1,100,What change helped Houston airport reduce baggage-claim complaints?,Passengers walked longer before waiting at the carousel,Passengers received meals during long layovers,That answer changes the point: Passengers walked longer before waiting at the carousel.,Passengers were given gifts after landing,That answer changes the point: Passengers walked longer before waiting at the carousel.,Passengers waited in seats beside the aircraft,That answer changes the point: Passengers walked longer before waiting at the carousel.,Passengers walked longer before waiting at the carousel.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_progress-not-regress_5_094,question.progress-not-regress.100.005,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.005,1,100,What is one basic purpose of a progress indicator in a task?,To show movement toward completion,To hide how the task is structured,That answer changes the point: To show movement toward completion.,To make users restart from zero,That answer changes the point: To show movement toward completion.,To remove the goal from view,That answer changes the point: To show movement toward completion.,To show movement toward completion.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_progress-not-regress_6_097,question.progress-not-regress.100.006,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.006,1,100,What game appears in Google Chrome when a device goes offline?,The Dinosaur game,Galaxian,That answer changes the point: The Dinosaur game.,Tetris,That answer changes the point: The Dinosaur game.,Ridge Racer,That answer changes the point: The Dinosaur game.,The Dinosaur game.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_progress-not-regress_7_018,question.progress-not-regress.100.007,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.007,1,100,What does GDP mainly measure?,Economic production within a country,Average personal happiness,That answer changes the point: Economic production within a country.,Passport travel freedom,That answer changes the point: Economic production within a country.,Income inequality inside households,That answer changes the point: Economic production within a country.,Economic production within a country.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L100_progress-not-regress_8_104,question.progress-not-regress.100.008,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.008,1,100,What does the Second Law of Thermodynamics suggest about closed systems?,They tend toward greater disorder over time,They naturally become cleaner and more organized,That answer changes the point: They tend toward greater disorder over time.,They improve morally when left alone,That answer changes the point: They tend toward greater disorder over time.,They always produce social justice,That answer changes the point: They tend toward greater disorder over time.,They tend toward greater disorder over time.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_progress-not-regress_1_173,question.progress-not-regress.200.001,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.001,2,200,Why can an imperfect progress bar still feel helpful?,It reduces uncertainty while users are waiting,It proves the estimate is always exact,That answer changes the point: It reduces uncertainty while users are waiting.,It removes the need for user patience,That answer changes the point: It reduces uncertainty while users are waiting.,It makes the computer finish instantly,That answer changes the point: It reduces uncertainty while users are waiting.,It reduces uncertainty while users are waiting.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_progress-not-regress_2_180,question.progress-not-regress.200.002,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.002,2,200,What is an indeterminate progress bar most useful for?,Showing activity when exact progress is unknown,Showing the exact number of seconds remaining,That answer changes the point: Showing activity when exact progress is unknown.,Replacing all feedback with a fixed percentage,That answer changes the point: Showing activity when exact progress is unknown.,Proving the task has already finished,That answer changes the point: Showing activity when exact progress is unknown.,Showing activity when exact progress is unknown.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_progress-not-regress_3_198,question.progress-not-regress.200.003,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.003,2,200,Which example is often discussed as a possible placebo button?,An elevator close-door button with little effect,A phone volume button changing sound level,That answer changes the point: An elevator close-door button with little effect.,A school alarm button triggering evacuation,That answer changes the point: An elevator close-door button with little effect.,A television power button turning it off,That answer changes the point: An elevator close-door button with little effect.,An elevator close-door button with little effect.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_progress-not-regress_4_174,question.progress-not-regress.200.004,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.004,2,200,Why did the longer walk make travelers complain less?,Walking made more of the wait feel occupied,Walking made bags arrive in half the time,That answer changes the point: Walking made more of the wait feel occupied.,Walking made travelers forget their luggage,That answer changes the point: Walking made more of the wait feel occupied.,Walking removed the need for baggage claim,That answer changes the point: Walking made more of the wait feel occupied.,Walking made more of the wait feel occupied.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_progress-not-regress_5_187,question.progress-not-regress.200.005,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.005,2,200,Why can small easy first steps increase task completion?,They make people feel they have already begun,They make the task harder to understand,That answer changes the point: They make people feel they have already begun.,They remove the need for motivation,That answer changes the point: They make people feel they have already begun.,They prove the final result is guaranteed,That answer changes the point: They make people feel they have already begun.,They make people feel they have already begun.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_progress-not-regress_6_175,question.progress-not-regress.200.006,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.006,2,200,What did Ridge Racer famously include during loading?,A playable Galaxian-style waiting game,A full driving tutorial before every race,That answer changes the point: A playable Galaxian-style waiting game.,A restaurant payment game with a fee,That answer changes the point: A playable Galaxian-style waiting game.,A blank screen with no user feedback,That answer changes the point: A playable Galaxian-style waiting game.,A playable Galaxian-style waiting game.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_progress-not-regress_7_143,question.progress-not-regress.200.007,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.007,2,200,What does the Gini coefficient help measure?,How income or wealth is distributed,How many goods a country produces,That answer changes the point: How income or wealth is distributed.,How powerful a passport is abroad,That answer changes the point: How income or wealth is distributed.,How expensive burgers are worldwide,That answer changes the point: How income or wealth is distributed.,How income or wealth is distributed.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L200_progress-not-regress_8_208,question.progress-not-regress.200.008,entry.quizQuestions,Raw Content,progress-not-regress,raw.progress-not-regress.008,2,200,"What does the phrase 'the arc of the moral universe is long, but it bends toward justice' express?",A belief that moral progress can happen over time,A law that history improves automatically,That answer changes the point: A belief that moral progress can happen over time.,A claim that science replaces all politics,That answer changes the point: A belief that moral progress can happen over time.,A warning that justice is impossible to reach,That answer changes the point: A belief that moral progress can happen over time.,A belief that moral progress can happen over time.,,,,https://wsc-2026-study-routes.vercel.app/raw-content-bank.js?v=20260504f
L300_progress-not-regress__255,question.progress-not-regress.300.009,section.guideQuestions,Section Journey,progress-not-regress,,3,300,Start with this detail: Progress bars reduce uncertainty. Which idea gives the best comparison?,Determinate vs indeterminate indicators,Skeleton screens and placebo progress,That answer changes the point: Determinate vs indeterminate indicators.,Progress as measurement problem,That answer changes the point: Determinate vs indeterminate indicators.,Moral and social progress,That answer changes the point: Determinate vs indeterminate indicators.,Correct: Determinate vs indeterminate indicators.,"The question starts from a concrete detail in Progress bars: Progress bars reduce uncertainty. It is really asking which answer handles a similar pressure. Determinate vs indeterminate indicators is the best connection because it separates measurable progress from mere activity, forcing users to decide whether they are seeing information or reassurance. Both ideas ask alpacas to notice that People are calmer when waiting has shape. The danger is that shape can feel like evidence even when the system is guessing or stalling.",,,WSC_2026_updated_level_100_200_300_questions.csv
L300_progress-not-regress__256,question.progress-not-regress.300.010,section.guideQuestions,Section Journey,progress-not-regress,,3,300,Which idea gives the clearest comparison to Skeleton screens and placebo progress?,Progress as measurement problem,Moral and social progress,That answer changes the point: Progress as measurement problem.,"Entropy, maintenance, and regress",That answer changes the point: Progress as measurement problem.,Personal progress is non-linear,That answer changes the point: Progress as measurement problem.,Correct: Progress as measurement problem.,"The question starts from a concrete detail in Skeleton screens and placebo progress: Skeleton screens preview layout before content arrives. It is really asking which answer handles a similar pressure. Progress as measurement problem is the best connection because it turns progress into a choice about value: the metric does not just report the goal, it quietly defines it. Both ideas ask alpacas to notice that People tolerate uncertainty better when a system gives them something to look at or press. The ethical line appears when comfort becomes staged control.",,,WSC_2026_updated_level_100_200_300_questions.csv
L300_progress-not-regress__257,question.progress-not-regress.300.011,section.guideQuestions,Section Journey,progress-not-regress,,3,300,Which idea turns the same pressure behind Moral and social progress into a different form?,"Entropy, maintenance, and regress",Personal progress is non-linear,"That answer changes the point: Entropy, maintenance, and regress.",Progress bars,"That answer changes the point: Entropy, maintenance, and regress.",Determinate vs indeterminate indicators,"That answer changes the point: Entropy, maintenance, and regress.","Correct: Entropy, maintenance, and regress.","The question starts from a concrete detail in Moral and social progress: Rights can expand over time. It is really asking which answer handles a similar pressure. Entropy, maintenance, and regress is the best connection because it makes maintenance the hidden condition of progress; without upkeep, systems slide backward without needing a dramatic collapse. Both ideas ask alpacas to notice that Progress stories can inspire action, but they can also hide who is still excluded after victory has been announced.",,,WSC_2026_updated_level_100_200_300_questions.csv
L300_progress-not-regress__258,question.progress-not-regress.300.012,section.guideQuestions,Section Journey,progress-not-regress,,3,300,Which idea gives the clearest comparison for Personal progress is non-linear?,Progress bars,Determinate vs indeterminate indicators,That answer changes the point: Progress bars.,Skeleton screens and placebo progress,That answer changes the point: Progress bars.,Progress as measurement problem,That answer changes the point: Progress bars.,Correct: Progress bars.,"The question starts from a concrete detail in Personal progress is non-linear: Plateaus are not failure. It is really asking which answer handles a similar pressure. Progress bars is the best connection because it turns invisible processing into a visible promise that completion is approaching, even when the user cannot verify real progress. Both ideas ask alpacas to notice that Visible improvement is easy to reward. Invisible consolidation, recovery, and plateau are harder to see but often more real.",,,WSC_2026_updated_level_100_200_300_questions.csv
L300_progress-not-regress__259,question.progress-not-regress.300.013,section.guideQuestions,Section Journey,progress-not-regress,,3,300,Which idea carries the same logic as Determinate vs indeterminate indicators?,Moral and social progress,"Entropy, maintenance, and regress",That answer changes the point: Moral and social progress.,Personal progress is non-linear,That answer changes the point: Moral and social progress.,Progress bars,That answer changes the point: Moral and social progress.,Correct: Moral and social progress.,"The question starts from a concrete detail in Determinate vs indeterminate indicators: Determinate indicators have a visible percentage or fixed path. It is really asking which answer handles a similar pressure. Moral and social progress is the best connection because it tests the belief that history improves by revealing backlash, uneven benefit, and progress that can be declared too early. Both ideas ask alpacas to notice that Users want honesty and comfort at the same time. Interface design often has to choose which kind of trust it is building.",,,WSC_2026_updated_level_100_200_300_questions.csv
